Sales, units;янв.18;фев.18;мар.18;апр.18
JLFTE8258P;81;122;58;332
STABL9484I;0;0;0;0
SVQGS4362M;0;0;0;0
TODCN7788P;10;4;6;13
VYYZK6032S;47;12;-13;10
ZHDJE8964Y;71;43;38;1
TYRZC8291U;190;-9;-16;27
YTITF1894Z;0;0;0;0
PUWME7772S;219;190;9;185
MIRZU2482P;2;-7;0;1
VRCQP6271G;4;0;120;0
MKUHL2308V;12;8;15;13
YCLJG8258B;10;6;9;6
NEAUH0599M;19;12;6;8
CDOWU0661Z;11;5;15;53
BMADN3771T;42;6;7;2
XMBEU2334Q;24;19;11;5
WKKUW1078Z;0;0;0;0
IZDHV5209B;0;0;0;0
PYDQZ2662B;0;102;0;0
SLWFZ7027E;0;0;0;0
BUTJD9349O;0;0;0;0
TJKPI6329D;0;0;0;0
FLRTU7372Y;12;11;30;8
AJGBB0913P;0;0;0;0
UHHMX9753H;0;0;0;0
XFPCJ8924M;3;0;0;0
BQITK2020V;0;0;0;0
PYEYQ1658C;0;0;0;0
PQKBK8427T;0;0;0;0
KGQWW7057L;0;0;0;0
BBDAL5574L;0;0;0;0
WAPIL1106C;0;0;0;0
KDSCV0064J;2;0;0;0
CDTST7352L;0;0;0;0
HZWEW2956P;0;0;0;0
FGVZT1231I;0;0;0;0
XFYOU4969X;0;0;0;0
ZKPZF1121L;0;0;0;0
DKQAL0615D;6;0;0;0
DVRGM0806K;0;0;0;0
FERRG5341Y;0;0;0;0
YKKZG6033S;0;0;0;0
CLBAY0464C;14;15;0;8
SFMGF6691M;0;-5;2;3
JUPRL6719L;0;0;0;0
MWGDB3616F;0;0;0;0
CIIGN8764S;0;0;0;0
KYXDM5652F;0;4;0;0
HFTGG5194W;0;0;0;7
MOEHT7856Z;0;0;0;0
PLRDB2449T;1;0;62;0
RYMSP0074F;116;-19;46;26
JUCTM1332E;2;0;0;0
QGJPL0314L;0;0;0;0
DWOZU9842M;0;0;0;0
HCKCX8652M;0;0;0;0
EFGDO5024A;1;0;0;0
YSDZP7092K;0;0;0;0
YCOSK5095C;0;0;0;0
DOCEE6374S;0;12;0;0
VTIEE3836U;0;6;0;0
PCJLQ4271R;0;0;0;0
MWEAD8396A;0;12;0;0
CXEMF7257B;0;0;0;0
BHQKI4862Z;0;0;0;0
RPHLN1269U;0;0;0;0
EAABA3978I;0;1;13;6
JUSNP2381Z;2;4;14;0
OOQDQ9116D;0;0;12;0
WDOZV4044F;3;-1;13;2
OYZMF5042N;0;-1;250;0
