ПРОДАЖИ РУБ;янв.18;фев.18;мар.18;апр.18
КУБАНЬ. НОВОРОССИЙСК. СЕМИГОРЬЕ. ПИНО НУАР. СИКОРЫ, красное, сухое. 0.75л., , 14%;26177,16;92662,48;74984;160699,88
МАРКИЗ ДЕ ВАЛЬКАРЛОС КРИАНСА, красное, сухое, 0.75л., 2009, 13.5%;741;0;0;0
МОНТЕПУЛЬЧАНО Д'АБРУЦЦО, красное, полусухое, 1.5л., 2014, 14%;6552;0;0;0
НАСОС ДЛЯ ОТКАЧИВАНИЯ ВОЗДУХА ИЗ БУТЫЛКИ С ЛОГОТИПОМ АЛЬТАВИНА (арт. 004-502-03), -;125280;0;0;0
ОССИАН КАПИТЕЛЬ, белое, сухое, 0.75л., 2015, 14,5%;4935;25803;8601;32571
ОССИАН, белое, сухое, 0.75л., 2015, 14,5%;47257;55857;59168;261612
СЕРБКА РАКИЯ КАЙСИЕВАЧА, 42%, 0.7л.,  42%;8724,6;0;0;0
СЕРБКА РАКИЯ ЯБУКОВАЧА, 42%, 5л.,  42%;6798,4;0;0;0
ФАН Д'ОРО, белое, сухое, 0.75л., 2016, 14%;30072;0;14284,2;29982,5
ШТОПОР БРУКАРТ (арт. 107-711-00), -;24210;0;0;0
"ШТОПОР ПУЛТАПС ""ДЕРЕВО"" (арт. 107-821-00), -";4140;0;0;0
ШТОПОР С ЛОГОТИПОМ АЛЬТАВИНА (арт. 004-806-03), -;136800;0;0;0
ШТОПОР ТОЛЕДО (арт.107-806-00), -;14130;0;0;0
12 Э МЕЦЦО ПРИМИТИВО, красное, полусухое, 0.75л., 2016, 12,5%;0;13600,7;178647,1;230529,54
ААЛЬТО П.С. РИБЕРА ДЕЛЬ ДУЭРО, красное, сухое, 0.75л., 2014, 15%;0;-14190,68;-7750,63;24318
АВЕ РОСА КАБЕРНЕ СОВИНЬОН, красное, сухое, 0.1875л, 2013, 13%;0;2905,4;0;0
АРЗУАГА ГРАН РЕЗЕРВА, красное, сухое, 0.75л., 2004, 14%;0;-27735,88;30605,4;0
АРЗУАГА КРИАНСА, красное, сухое, 0.75л., 2015, 14,5%;0;918339,79;921749,97;1310071,94
АРЗУАГА РЕЗЕРВА ЭСПЕСИАЛЬ, красное, сухое, 0.75л., 2009, 14,5%;0;-5880,4;0;6748
АРЗУАГА РЕЗЕРВА, красное, сухое, 1.5л., 2011, 15%;0;68061;19949,85;9723
БАРОЛО РОККЕ ДЕЛЛЬ' АННУНСИАТА, красное, сухое, 0.75л., 2012, 14%;0;-14941,7;0;8533
БАРОЛО РОККЕ, красное, сухое, 0.75л., 2006, 14,5%;0;-28296,38;0;23754,92
БОКАЛ ЧАКОЛИ, 0.5Л, -;0;1200;1800;147,06
БРУНЕЛЛО ДИ МОНТАЛЬЧИНО ТАЛЕНТИ, красное, сухое, 0.375л., 2009, 14.5%;0;-3971,58;-1323,86;5797,44
ВЕЙГА ДА ПРИНЦЕСА, белое, полусохое, 0.75л., 2016, 13%;0;26653,51;83185,28;87843,23
КАВА ЖЮВЕ И КАМПС СИНТА ПУРПУРА РЕЗЕРВА, белое, брют, 0.75л., 2013, 12%;0;-11870,16;5012,6;0
КЛОСТЕР ЭБЕРБАХ ШПЕТБУРГУНДЕР, красное, полусухое, 0.75л., 2014,12%;0;-2913,78;0;0
"КОНЬЯК 3-летний ""3***"", 0.5л, , 40%";0;448,7;0;22933
"КОНЬЯК 4-летний ""4****"", 0.5л, , 40%";0;445,2;0;11305
"КОНЬЯК 5-летний ""5*****"", 0.5л, , 40%";0;450,8;0;19057
КОРАЛ ДО МАР, белое, полусухое, 0.75л., 2016, 13%;0;32084,57;76781,73;45863,57
САН РОМАН, красное, сухое, 0.75л., 2011, 14,5%;0;-4845;0;5368
САПЕРАВИ БАДАГОНИ, красное, сухое, 0.75л., , 14%;0;50868,75;267780,04;339418,71
ТЕНУТА ДИ ТРИНОРО, красное, сухое, 0.75л., 2008, 14%;0;-71908,12;0;0
ТЕРРЕУС, красное, сухое, 0.75л., 2011, 14,5%;0;-47150,88;8235;40219,41
ЧЕРАЗУОЛО Д'АБРУЦЦО, розовое, полусухое, 0.75л., 2017, 13%;0;15826,25;40383,75;56086,25
ШАМПАНЬ ДЬЕБОЛЬТ-ВАЛЛУА БЛАН ДЕ БЛАН МИЛЛЕЗИМ, белое, брют, 0.75л., 2007, 12,5%;0;-7261,85;0;0
ААЛЬТО РИБЕРА ДЕЛЬ ДУЭРО, красное, сухое, 0.75л., 2014, 15%;0;0;-6977,04;7714
АСТРАЛЕС, красное, сухое, 0.75л.,  2011г. 14.5%;0;0;-2733,77;0
ВЕГА СИЦИЛИЯ УНИКО ГРАН РЕЗЕРВА, красное, сухое, 0.75л., 2002, 14%;0;0;991,37;0
МАРКЕЗИ ДЕЛЬ САЛЕНТО НЕГРОАМАРО, красное, полусухое, 0.75л., 2016, 13%;0;0;156379,62;129290,28
МАРКИЗ ДЕ ВИТОРИА ЭККО, красное, сухое, 0.75л., 2014, 13,5%;0;0;-740,72;0
ОССИАН КАПИТЕЛЬ, белое, сухое, 0.75л., 2013, 14%;0;0;-9162,1;0
ПАЛАСИО ДЕ БОРНОС, белое, сухое, 0.75л., 2015, 13,5%;0;0;-719,19;0
ПЕКОРИНО ТЕРРЕ ДИ КЬЕТИ, белое, полусухое, 0.75л., 2017, 13%;0;0;4427,4;43865,8
ТЕРРАС ГАУДА ЧЕРНАЯ ЭТИКЕТКА, белое, сухое, 0.75л., 2013, 12,5%;0;0;-9148,22;0
ТЕРРАС ГАУДА, белое, сухое, 0.75л., 2015, 12,5%;0;0;-3672,76;3400,21
ШАРДОНЕ ТЕРЛАНО, белое, сухое, 0.75л., 2015, 13%;0;0;-1117,97;0
ШАТО ДЕ ТРИАК РЕЗЕРВ ДЕ ЛЯ ФАМИЙ (П/У), 0.7л., , 40%;0;0;157305,48;29264,44
ЭЧЕВЕРРИЯ ЛЭЙТ ХАРВЕСТ СПЕШИАЛ СЕЛЕКШЕН СОВИНЬОН БЛАН, белое, сладкое, 0.375л., 2009, 12,5%;0;0;150,61;0
12 Э МЕЦЦО МАЛЬВАЗИЯ, белое, полусухое, 0.75л., 2017, 12,5%;0;0;0;69781,76
БЕЛОНДРАДЕ И ЛУРТОН, белое, сухое, 0.75л., 2014, 14%;0;0;0;-7914,77
ВИЛЛА ЛУЧИА ТОСКАНА, красное, сухое, 0.75л., 2014, 12%;0;0;0;395,5
ВИРТУС ПРОКУПАЦ, красное, сухое, 0.75л., 2015, 12,5%;0;0;0;52525,74
ГУАРДИОЛА, белое, сухое, 0.75л., 2013, 13%;0;0;0;-5298
ГУБЕРНАТОРСКОЕ КАБЕРНЕ, красное, сухое, 0.75л., 2015, 13,5%;0;0;0;1540,5
ГУБЕРНАТОРСКОЕ РКАЦИТЕЛИ, белое, сухое, 0.75л., 2015, 13%;0;0;0;3649,8
КАМПИЛЬО РЕЗЕРВА ЭСПЕСИАЛЬ, красное, сухое, 0.75л., 2010, 14%;0;0;0;3335,5
КАМПО ДИ КАМАГИ, красное, сухое, 0.75л., 2014, 14,5%;0;0;0;25411,76
КЛОСТЕР ЭБЕРБАХ ШПЕТБУРГУНДЕР, красное, полусухое, 0.75л., 2015, 12,5%;0;0;0;55120,31
КОНДЕСА ДЕ ЛЕГАНСА ВЕРДЕХО, белое, сухое, 0.75л., 2017, 12,5%;0;0;0;47600,45
"КОНЬЯК ""АТТАШЕ"", 4-летний, 0.5л, , 40%";0;0;0;8640,48
"КОНЬЯК ""АТТАШЕ"", 5-летний, 0.5л, , 40%";0;0;0;14418
"КОНЬЯК ""СТАРЫЙ ТИЛЬЗИТ"", 0.1л, , 40%";0;0;0;2700
"КОНЬЯК ""СТАРЫЙ ТИЛЬЗИТ"", 0.25л, , 40%";0;0;0;4392,24
"КОНЬЯК ""СТАРЫЙ ТИЛЬЗИТ"", 0.5л, , 40%";0;0;0;7996,8
"КОНЬЯК 3-летний ""3***"", 0.25л, , 40%";0;0;0;8289,6
"КОНЬЯК 4-летний ""4****"", 0.25л, , 40%";0;0;0;4197,6
"КОНЬЯК 5-летний ""5*****"", 0.1л, , 40%";0;0;0;5220
"КОНЬЯК 5-летний ""5*****"", 0.25л, , 40%";0;0;0;8501,28
"КОНЬЯК ВЫДЕРЖАННЫЙ ""АТТАШЕ"", 0.5л, , 40%";0;0;0;10200
"КОНЬЯК ВЫДЕРЖАННЫЙ ""ГРАД ПЕТРОВ"", 0.5л, , 40%";0;0;0;3111
"КОНЬЯК СТАРЫЙ ""ГРАД ПЕТРОВ"", 0.5л, , 40%";0;0;0;4386
КУБАНЬ НОВОРОССИЙСК МЕРЛО СЕМИГОРЬЕ, красное, сухое, 0.75л., 2016, 13,5%;0;0;0;6552
КУБАНЬ НОВОРОССИЙСК ПИНО ГРИ СЕМИГОРЬЕ, розовое, сухое, 0.75л., 2016, 14%;0;0;0;29575
КУБАНЬ НОВОРОССИЙСК ПИНО НУАР СЕМИГОРЬЕ, красное, сухое, 0.75л., 2016, 13,5%;0;0;0;27253,02
КУБАНЬ НОВОРОССИЙСК ПИНО НУАР СЕМИГОРЬЕ, розовое, сухое, 0.75л., 2016, 13,3%;0;0;0;27839
МАРКИЗ ДЕ ВИТОРИА ГРАН РЕЗЕРВА, красное, сухое, 0.75л., 2009, 14%;0;0;0;1366,4
МАРКИЗ ДЕ ВИТОРИА КРИАНСА, красное, сухое, 0.75л., 2015, 14%;0;0;0;18878,4
ПАССОПИШАРО, красное, сухое, 0.75л., 2011, 14%;0;0;0;-2100,29
РКАЦИТЕЛИ ВЫДЕРЖАННОЕ, белое, сухое, 0.75л., 2015, 13%;0;0;0;25350
САН РОМАН, красное, сухое, 0.75л., 2012, 14,5%;0;0;0;-2402,71
СОВИНЬОН БЛАН СЕМИГОРЬЕ, белое, сухое, 0.75л., 2016, 12,5%;0;0;0;17241
СОФИЯ СЕМИГОРЬЕ, красное, сухое, 0.75л, 2016, 13,5%;0;0;0;5460
ФАН Д'ОРО, белое, сухое, 0.75л., 2014, 13,5%;0;0;0;-1282,71
ФАУСТИНО V РЕЗЕРВА, красное, сухое, 0.375л., 2010, 13,5%;0;0;0;1696
ЦИМЛЯНСКИЙ ЧЕРНЫЙ ВЫДЕРЖАННЫЙ, красное, сухое, 0.75л., 2016, 13%;0;0;0;13800
ЦИНАНДАЛИ БАДАГОНИ, белое, сухое, 0.75л., , 14%;0;0;0;71149,84
