ПРОДАЖИ РУБ;янв.18;фев.18;мар.18;апр.18
МОНТИКОЛЬ ПИНО НУАР РИЗЕРВА, красное, сухое, 0.75л., 2014, 13,5%;0;-5181;6594;0
МУКУЗАНИ БАДАГОНИ, красное, сухое, 0.75л., , 13%;124805,73;288893,43;124701,12;345702,96
МЮЛЛЕР ТУРГАУ ТЕРЛАНО, белое, сухое, 0.75л., 2016, 12,5%;20315;40409;29801;60641,66
НАСОС ДЛЯ ОТКАЧИВАНИЯ ВОЗДУХА ИЗ БУТЫЛКИ (арт. 004-502-00), -;0;0;0;103530
НЕББИОЛО Д'АЛЬБА ОКЕТТИ РЕНАТО РАТТИ, красное, сухое, 0.75л., 2015, 14%;0;-3584;1920;0
ПАГО ФЛОРЕНТИНО, красное, сухое, 0.75л., 2014, 14,5%;161329,2;186664,1;174277,12;306189,96
ПАЛАСИО ДЕ БОРНОС, белое, сухое, 0.75л., 2016, 13%;160867,93;78296,94;160639,67;188053,38
ПАЛАЦЦИ, красное, сухое, 0.75л., 2011, 16%;0;57400;207870;0
ПАССОБЬЯНКО, белое, сухое, 0.75л., 2014, 13,5%;0;0;0;-9638
ПАССОПИШАРО, красное, сухое, 0.75л., 2012, 15,5%;6181,2;0;0;0
ПАССОПИШАРО, красное, сухое, 1.5л., 2012, 15,5%;0;-12163,4;0;-24326,8
ПАССОРОССО, красное, сухое, 0.75л., 2013, 14%;2450,98;-15525,72;20052,96;0
ПАЧАРАН БАЙНЕС, 0.7л., , 28%;57646,8;118798;84591,5;64043,84
ПЕКОРИНО ТЕРРЕ ДИ КЬЕТИ, белое, полусухое, 0.75л., 2016, 13%;50780,08;16682,82;21242,1;42280,1
ПЕКОРИНО ТЕРРЕ ДИ КЬЕТИ, белое, полусухое, 1.5л., 2014, 13%;0;-9516;1903,2;0
ПЕРУСИНИ ПИНО ГРИДЖО, белое, сухое, 0.75л., 2016, 13,5%;7472,5;-66199;27352,5;24298,76
ПИНО БЬЯНКО, белое, сухое, 0.75л., 2016, 13,5%;33409,6;25707,05;53301,5;35921,6
ПИНО ГРИДЖО ТЕРЛАНО, белое, сухое, 0.75л., 2016, 13,5%;110268;65358;116730;109422
ПИРОСМАНИ БАДАГОНИ, белое, полусухое, 0.75л., , 12,5%;26489,08;4480,5;13855,56;22530,6
ПТИ ШАБЛИ, белое, сухое, 0.75л., 2015, 12%;11322,6;11589,8;6813,6;0
РИБ ШЕК РЕД, красное, полусухое, 0.75л., 2015, 13,5%;87688,8;69986,9;75172,13;83364,8
РКАЦИТЕЛИ ВЫДЕРЖАННОЕ, белое, сухое, 0.75л., 2014, 13%;15315,68;15225;17334,54;24433,58
САПЕРАВИ БАДАГОНИ, красное, сухое, 0.75л., , 13%;236776,01;230051,02;2201,16;0
СИБИРЬКОВЫЙ, белое, сухое, 0.75л., , 12.5%;0;-2311;-656;1845
СЛИВОВИЦА ТАКОВО, 0.75л., , 40%;124693,6;238058,6;239327,46;428333,82
СОАВЕ КЛАССИКО МОНТЕ ФИОРЕНТИНЕ КА'РУГАТЕ, белое, сухое, 0.75л., 2015, 12,5%;5682,3;0;0;0
СОАВЕ КЛАССИКО САН МИШЕЛЬ КА'РУГАТЕ, белое, сухое, 0.375л., 2012, 12%;0;0;1089,46;0
СОВИНЬОН БЛАН СЕМИГОРЬЕ РЕЗЕРВ (редукция), белое, сухое, 0.75л., 2009, 13%;10894,8;11283,9;10148,97;7263,2
СОВИНЬОН БЛАН СЕМИГОРЬЕ РЕЗЕРВ, белое, сухое, 0.75л., 2015, 12,5%;12710,6;19519,85;8041,4;22178,7
СОФИЯ СЕМИГОРЬЕ, белое, сухое, 0.75л, 2014, 13%;0;0;-1200;2800,57
СОФИЯ СЕМИГОРЬЕ, красное, сухое, 0.75л, 2014, 14%;33742,5;48150,39;48585;122524,27
ТЕЛЕДА, белое, сухое, 0.75л., 2013, 13%;25207,42;51074,81;37624,25;26975,29
ТЕНУТА ДИ ТРИНОРО, красное, сухое, 0.75л., 2009, 15,5%;35000;-30500;34250;0
ТЕРЛАНЕР НОВА ДОМУС РИЗЕРВА, белое, полусухое, 0.75л., 2014, 14%;0;-31537;0;0
ТИФФОН VS (п/у), 0.7л., , 40%;94429,8;126214,2;52731;718837,61
ТИФФОН VS, 0.7л., , 40%;61605,6;166752,17;44363,44;245573,3
ТИФФОН VSOP (п/у), 0.7л., , 40%;165542,4;159575,2;122730,66;658813,83
ТИФФОН VSOP, 0.5л., , 40%;102637,5;63973,35;52017,94;258536,35
ТИФФОН VSOP, 0.7л., , 40%;79818,5;38422,83;766449,21;361547,16
ТИФФОН ХО, 0.5л. , , 40%;0;0;0;590876,14
ТИФФОН ХО, 0.7л. ,  40%;0;0;585427,3;0
ТИФФОН ХО, 0.7л. (П/У), , 40%;153728,82;114082,13;90430,8;147649,05
ТИФФОН ХО, 3л. , , 40%;0;0;313011,84;0
ТРАДИЦИИ АЛАВЕРДИ БАДАГОНИ, красное, сухое, 0.75л., , 13%;0;0;0;61034,2
ТЧОМИН ЭТЧАНИС, белое, полусухое, 0.75л., 2016, 11%;39603,72;39871,96;65372,92;16610,41
ФАН Д'ОРО, белое, сухое, 0.75л., 2015, 14%;49404;11802,18;-12905,9;6945,2
ФАУСТИНО I ГРАН РЕЗЕРВА, 1987,красное, сухое, 0.75л., , 12,5%;0;-19034,62;0;4284
ФАУСТИНО I ГРАН РЕЗЕРВА, 1994, красное, сухое, 0.75л., , 13,5%;0;-47985,68;0;4235
ФАУСТИНО IX РИОХА ТЕМПРАНИЛЬО, красное, сухое, 0.75л., 2015, 13,5%;17829;66061,2;103690,2;1090,48
ФАУСТИНО IX РИОХА ТЕМПРАНИЛЬО, красное, сухое, 0.75л., 2015, 13%;2089,8;-494,1;494,1;567
ФАУСТИНО V РЕЗЕРВА, красное, сухое, 0.75л., 2010, 13,5%;0;0;-2944,08;0
ФАУСТИНО VI РИОХА КРИАНСА, красное, сухое, 0.75л., 2011, 13,5%;10775,9;5324;8118;0
ФАУСТИНО VII, белое, сухое, 0.187л., 2015, 12%;1411,2;0;0;0
ФАУСТИНО VII, красное, сухое, 0.75л., 2014, 13%;24206,91;0;0;2679,6
ФАУСТИНО РИОХА КРИАНСА, красное, сухое, 0.75л., 2013, 13,5%;0;0;-3850;4037
ФИЕСТА ОЛЕ, белое, полусладкое, 0.75л, , 11%;15413,75;4902,9;10392;5488
ФИЕСТА ОЛЕ, красное, полусладкое, 0.75л, , 11%;861,4;0;0;0
ФРАНШХУК СЕЛЛАР ПИНОТАЖ, красное, сухое, 0.75л., 2015, 14%;0;0;0;-327,69
ФРАНШХУК СЕЛЛАР СОВИНЬОН БЛАН, белое, сухое, 0.75л., 2016, 13,5%;0;0;0;-285,1
ФРАНШХУК СЕЛЛАР ШЕНИН БЛАН, белое, сухое, 0.75л., 2016, 13%;0;0;0;-303,63
ФРАНШХУК СЕЛЛАР ШИРАЗ, красное, сухое, 0.75л., 2015, 14%;0;0;0;-676,68
ХВАНЧКАРА БАДАГОНИ, красное, полусладкое, 0.75л., , 12%;189612,24;89336,04;20141;196836,76
"ХЕРЕС ""ВИЛЬЯМС И ХАМБЕРТ"" КОЛЛЕКШН ФИНО, белое, ликёрное,  0.75л., , 15%";29124;17831,29;10926;4968
ЦИМЛЯНСКИЙ ЧЕРНЫЙ ВЫДЕРЖАННЫЙ, красное, сухое, 0.75л., 2014, 14,5%;58199,5;36486,8;78764,26;254858,2
ЦИМЛЯНСКИЙ ЧЕРНЫЙ РОЗОВЫЙ, розовое, сухое, 0.75л., 2015, 12,5%;0;0;-840;0
ЦИНАНДАЛИ БАДАГОНИ, белое, сухое, 0.75л., , 13%;112794,04;170906,34;82495,2;163020,6
ЧЕРАЗУОЛО Д'АБРУЦЦО, розовое, полусухое, 0.75л., 2016, 13%;34856,25;-13077,67;0;5775
ЧЕРНОМОРСКОЕ ПОБЕРЕЖЬЕ КУБАНИ. СЕМИГОРЬЕ. КАБЕРНЕ СОВИНЬОН. ПРЕМИУМ (С), красное, сухое, 0.75л., 2014, 14%;155028,04;277720,98;209920,82;334778,62
ЧЕРНОМОРСКОЕ ПОБЕРЕЖЬЕ КУБАНИ. СЕМИГОРЬЕ. РИСЛИНГ. ПРЕМИУМ (С), белое, сухое, 0.75л., 2014, 13%;0;0;-44,73;0
ЧЕРНОМОРСКОЕ ПОБЕРЕЖЬЕ КУБАНИ.СЕМИГОРЬЕ.КАБЕРНЕ СОВИНЬОН.СЕМЕЙНЫЙ РЕЗЕРВ (С), красное, сухое, 0.75л., 2014, 14%;67444;121238;122826,05;97526
ШАБЛИ ПРЕМЬЕР КРЮ МОНТЕ ДЕ ТОННЕР, белое, сухое, 0.375л., 2015, 13%;7216,3;0;4056;0
ШАБЛИ, белое, сухое, 0.375л., 2015, 12,5%;920;-9821;1840;8740
ШАБЛИ, белое, сухое, 0.75л., 2015, 12,5%;0;3876;1520;0
ШАМПАНЬ ДЬЕБОЛЬТ-ВАЛЛУА БЛАН ДЕ БЛАН МИЛЛЕЗИМ, белое, брют, 0.75л., 2008, 12,5%;0;-23047,86;0;0
ШАМПАНЬ ДЬЕБОЛЬТ-ВАЛЛУА БРЮТ ПРЕСТИЖ, белое, брют, 0.75л., , 12,5%;3824,7;-28601,66;0;7206,07
ШАМПАНЬ ДЬЕБОЛЬТ-ВАЛЛУА БРЮТ РОЗЕ, розовое, брют, 0.75л., , 12,5%;13362;-33854,17;9333;0
ШАРДОНЕ СЕМИГОРЬЕ РЕЗЕРВ, белое, сухое, 0.75л., , 14%;8612,08;14007,6;15405,7;20103,5
ШАРДОНЕ СЕМИГОРЬЕ РЕЗЕРВ, белое, сухое, 0.75л., 2015, 14%;1815,8;0;0;0
ШАРДОНЕ СЕМИГОРЬЕ, белое, сухое, 0.75л., 2015, 12,7%;2974,8;5786,8;12654;45648,66
ШАРДОНЕ ТЕРЛАНО, белое, сухое, 0.75л., 2016, 13,5%;35591,9;26595,8;44933,4;41919
ШАРДОНЕ, белое, сухое. 0.75л (ГС), 2015, 13%;21600;45600;19200;57600
ШАТО ГАЛОШЕ, красное, сухое, 0.75л., 2012, 12,5%;0;-25159,8;11315,15;12604,11
ШАТО ГАЛОШЕ, красное, сухое, 0.75л., 2014, 12,5%;16243,02;44194,5;24057,3;8618,1
ШАТО ДЕ ТРИАК СИНГЛ ВИНЬЯРДС, 0.7л., (ДЕР/КОР), 40%;0;-15857;258543,23;424654,5
ШАТО ЛЕ БЕРТРАН, белое, сухое, 0.75л., 2015, 13%;0;0;0;2443,5
ШАТО ЛЕ БЕРТРАН, красное, сухое, 0.75л., 2015, 13%;18551,58;20652,92;53397,1;42332,36
ШАТО ТЕРТР ДЕ БАЯРД, красное, сухое, 0.75л., 2014, 12,5%;19015,6;33612,18;22973,96;38756,91
ШТОПОР ПУЛТАПС БЕЛЫЙ (арт. 004-806-00), -;0;86748;3610;14440
ЭЧЕВЕРРИЯ АНВУДЕД ШАРДОННЕ РЕЗЕРВА, белое, сухое, 0.75л., 2015, 13,5%;0;-3257,4;0;-442,42
ЭЧЕВЕРРИЯ КАБЕРНЕ СОВИНЬОН-МЕРЛО ГРАН РЕЗЕРВА, красное, сухое, 0.75л., 2014, 13,5%;12306,6;-15299,4;4063,5;-17866,5
ЭЧЕВЕРРИЯ КАБЕРНЕ ФРАН ГРАН РЕЗЕРВА, красное, сухое, 0.75л., 2013, 14%;31360,5;-32316,3;992,25;26282,64
ЭЧЕВЕРРИЯ КАРМЕНЕР РЕЗЕРВА, красное, сухое, 0.75л. , 2014, 13,5%;22561,5;39790,5;0;0
ЭЧЕВЕРРИЯ МЕРЛО РЕЗЕРВА, красное, полусухое, 0.75л., 2015, 13,5%;0;-11943,8;-1628,7;7422,6
ЭЧЕВЕРРИЯ СИРА ГРАН РЕЗЕРВА, красное, сухое, 0.75л., 2012, 14.5%;0;-1080;823,5;0
ЭЧЕВЕРРИЯ ФОУНДЕРС СЕЛЕКШЕН, красное, сухое, 0.75л., 2010, 14.5%;0;0;0;-4941
ЭЧЕВЕРРИЯ ФОУНДЕРС СЕЛЕКШЕН, красное, сухое, 0.75л., 2011, 14,5%;24705;-34182;49491;-24594,13
ЭЧЕВЕРРИЯ ШАРДОННЕ ГРАН РЕЗЕРВА, белое, сухое, 0.75л., 2013, 13.5%;6837;-2709;2902,5;2322
АКВАВИТ ДИ ВИНО МОСКАТО РОСА, 0.7л., , 40%;0;-91543,01;0;9141,3
АРЗУАГА КРИАНСА, красное, сухое, 0.375л., 2014, 14,5%;14886;11128,58;0;0
ВЕГА СИЦИЛИЯ УНИКО ГРАН РЕЗЕРВА, 2003, красное, сухое, 0.75л., , 14%;0;-19703;22610;-19790,85
ВИЛЛА ЛУЧИА ПИНО ГРИДЖИО, белое, сухое, 0.75л., 2016, 12%;199978,98;257424,46;296917,48;787330,34
ГРАН ДУКЕ Д' АЛЬБА ОРО, 0.7л., , 40%;0;-17561,9;0;0
ГРАН ДУКЕ Д' АЛЬБА, 0.7л., , 40%;68069,43;-84998,74;134575,04;-38052,92
ГРАН ЛИБАЛИС, белое, полусладкое, 0.75л., 2014, 11,5%;825,36;0;0;0
ГРАППА ГРАППИНО БИАНКО, 0.7л., , 40%;21476;20124;18304;21103,33
ГРАППА ГРАППИНО ОРО, 0.7л., , 40%;24796,8;5634,81;34243,2;9620,97
ДОН ПЕЛАЙО РЕЗЕРВА, 0.7л., (П/У), 38%;114777,6;81695,66;52288,78;220025,16
