Sales RUB;июл.17;авг.17;сен.17;окт.17;ноя.17;дек.17
TLHGW0860I;4992;0;0;0;0;0
XKKHZ9941V;32962,8;0;0;-5460;4758;0
MFVVH4160S;5224,05;0;0;0;0;0
PKWIN9593K;34629,9;47366,44;30349,8;25096,95;20583,39;10311,15
EXAVX6092K;15252,72;14493,7;7353,99;13455,09;27098,13;15058,17
TODIB7377E;4275;22905;13215;12198,07;5250;0
WVHGL7695Z;43544,83;74654,1;54483,54;135531;65039,52;151069,1
OIFUK7544L;12075,84;39790,81;24184,67;51223,24;38916,47;49161,18
PEQFV5436U;165000;125500;268750;143750;315598;157500
BVJQZ1144P;44705,5;15582;4711,7;41648,65;23558,5;2263,1
MMCLH9459B;3430;0;0;0;0;0
IPLWN1561C;176494,72;0;0;0;0;0
VPUXP2251H;350867,7;102497,4;166508,7;733733,64;1447040,7;1035870,69
XQTIA3102B;139405,02;333792;129732;163909,2;1041380,95;359520,7
PCJYJ7760A;666400;443776;206816;541776,36;1681425,34;1650456,1
WBMDO4194K;169267,35;132221,25;116456,37;240872,1;303154,95;239678,7
OSAHU8746N;210692,4;180255;228597,5;150517,5;146095;1185640,8
HMUGO6033K;332114,4;0;0;0;664228,8;0
YMKLA0651I;281622;0;0;0;704055;0
SVROW6600B;245946;79619,2;179015,04;331218,83;809652,8;626415,76
AFFRJ6298S;150012,96;0;0;0;0;0
KQZFN3511L;5295,02;20695,04;39813,7;0;0;0
AGXAT0760U;12559,16;20125,94;17636,87;0;0;0
JODMF4405C;36169,29;63266,32;58610,44;56407,04;76640;72520,6
PTHDN0038O;55311;42279,8;68825,5;18991,9;37912,2;89517,9
PPKGE4926D;17514;78967,35;7686;0;0;0
PLJLH6070K;20691;53317,65;59774;27648,5;0;0
WFKHK0266X;429876,72;0;0;65022;44874;-29884,2
SBBRR4756I;26167,12;26227,8;32424,3;36508,4;7209;-3251,1
ODAUY6958C;37011,6;23059,8;0;4968;0;0
OUKCL6234N;78750;46673,5;13167;25498;32505;-22367,95
RRHKU0004S;857,5;0;0;0;0;0
TCNBB3978R;48340,25;59296,79;30737,7;0;0;-1302,66
IRSVM5802F;31724,7;28315,14;0;0;0;0
DYQWX3660O;86421,21;246051,23;139632,3;0;0;-28293,6
WZHSM4237K;3047;19261;14806;11275;19789;26994
CZEXV0807N;15821,45;20485,6;22976,5;44137,9;16782,55;15606,5
YQLLH1480H;14393,05;20894,85;30809,8;14053,8;5900;0
ZAFNU1851H;38118,6;43205,85;24508,7;22052,3;4722,95;0
MFOXG5954N;566,4;0;0;442,5;619,5;0
DFGBZ4263K;2830,05;0;0;0;0;0
QIAPB4422D;11542,5;0;0;0;0;0
MVECY5031I;105975,6;88125;154747,78;12628,03;0;0
PMGLW9027D;5429,04;1697,25;0;0;0;550,6
RYNUR3746Q;59964,24;84949,41;26583,05;353682,22;5673;10657,8
LFZWV4299O;395,45;2631,54;0;0;0;0
OTMDJ9990P;108884,82;83301,96;34795,98;169318,5;44667,18;0
DAKSG2183H;5300,96;23303,56;18580,36;31827,04;19966,52;34964,44
SSPHW1679P;13828,5;20988,54;51311,34;58840,02;0;0
HRGJP0818E;18377,6;38492,85;31465,03;2032,76;0;0
DDJNG1257X;14273,53;25459,52;29218,52;48918,87;0;0
YEZWN6767D;14642,82;26338,08;71755,92;79305,9;50567,49;57104,91
PTNYH8489Y;175291,08;148688,8;161605,4;218103,2;182449,44;220114,64
SROHV3703B;2196;104652;39204;27846;70560;42318
HVMNF1380C;96165,5;39421,5;116501,5;211818,3;729921,22;332395
QBDIJ3750V;57382,5;70045,5;72355,5;56954,2;735;0
YSQOW0506I;11152;95899;23759,5;0;0;0
XQIWK6874G;283205,4;262737;278306,6;5564,8;228245,6;223013,8
SIGWN8266K;3410;3520;0;-2750;1925;0
NDBVG3871D;133515,69;99294,28;40438,75;50723,75;57928,75;60060
DLMNK7105M;341640;481730;203732;201346,59;872087,05;1376765,76
WQDRC8400R;229801;4316;0;0;0;0
MWTHA7292L;127322;291564;110604;148616;211952;179920
MDHXY3151B;3919,42;3103,35;0;0;816,07;0
NKLNK2459D;1030,9;15395,9;16629,6;0;0;10765,3
SGTNA2209Y;44134,2;31660,2;0;0;0;0
NGEZK7998O;9131;9821;5278,5;18183,91;9223;6210
FKFDR0712W;156180;118313;97489;67396,99;119301;52289,12
YSGPM4265Q;99328;30295,04;0;-4345,6;0;0
VOKJG6462P;25005,64;0;0;0;83641,8;162518,4
VJVXX9887V;3461,2;40363,7;6209,8;0;139587;116331
MCEUI4487X;40622,04;79447,46;32891,92;35916,1;46743,88;15862,31
UIJVE4817K;5447,4;28144,9;0;0;0;0
FEBDM1083B;6160,75;7263,2;13501,77;8051,74;0;0
GNXJO5814O;2146;1354,2;0;0;0;0
JQVBM5503V;10419,2;32478,6;34592,6;29875,75;23102,8;17871
ELPTU6952V;97936,6;46895,9;82503,5;51841,4;0;80164,2
KOHQT0296P;153600;84000;48000;64800;103200;21600
HITSC0875H;-3479;5533,8;0;0;0;0
EUIVQ4138E;111230,32;81516,32;104033,43;76072,97;101723,44;127119,98
RWHKL1629Q;6161;18483;0;0;17170;0
QORVT5115S;164882,5;282042,5;156743,91;112413;376528;500303,5
AYNFQ7714G;137288,5;39385,6;132546,3;45639,15;36471,5;0
HRFTQ2551F;8959,5;13032;0;0;0;0
OCPPS7043Q;117885,3;45811,1;131804,2;70861,5;45820,15;176809,85
MZTRO4489H;63074,83;90440,96;275763,51;97683,82;36723,59;0
HMNNX9366N;72114,98;93366,84;90030,58;85935,96;71651,95;126227,97
YFGRC0505Q;1932;0;0;0;0;0
FLQKV7538O;992;0;0;0;0;0
DAUSB7758I;36416,8;0;0;0;0;0
TKXCY8461A;2198,46;0;578,11;0;0;0
GJIUU6397J;3681,3;1577,7;0;0;0;0
OXEVT9322W;2451,33;2386,55;0;0;0;0
DKJPJ4888M;2394,69;2476,08;825,36;1238,04;0;0
CBVVW3399O;1628,43;0;5266,62;2141,1;2141,1;400,81
KKTNX4425L;66874,6;121814,3;51833,6;69542,82;0;0
GIXBO2684X;80847,6;70941,9;49243,7;48186,47;15503,8;0
HXVJA4205Q;15518,7;18640,5;19014,6;48181,5;64227,32;53986,5
OXXMS6537J;13081,5;146059,2;40702,5;46278;52200,78;69430,5
VOWEU9978L;16808,7;18060;40609,2;41553,61;57830,7;0
DGRFB2523N;21600,3;56452,7;47312,4;37582,92;75173,85;104717,4
RTACA6397V;56113,4;66174;72744,59;138050,8;108998,8;111877,1
SHTJX3143P;25778,85;20381;20532,3;50801,29;63390,25;55055,4
UJVUC8752G;169789,5;4455;0;2970;0;0
RCNOM4081C;1246;623;1780;0;0;0
MZHQK2061F;50080,3;44135,1;39062,1;0;0;0
LZAIA0071C;9882;0;6075;0;0;0
FMLAK3720L;25474,5;25029;41659,51;38758,5;63747;99346,5
BQLZB5851J;28870,2;52701,66;22071,9;54218,7;34314;55057,2
TTAAU2208G;0;67906,8;107083,8;25073,28;0;0
VYPJW5340P;0;1192,08;0;0;0;1192,08
YBRLG8156Y;0;9018;54900;55710;93546;57870
CKDNO6873W;0;1612,41;0;0;0;0
CICCR4269E;0;193224,97;424381,22;486903,69;369485,02;573896,12
GAKUZ5558V;0;1566;0;0;0;0
CYUDV2918Z;0;185407,6;0;0;108250,4;0
ERTHN7957W;0;187466,76;65574,99;17029,35;207614,16;280129,09
TILHC8987S;0;412,68;0;2337,05;1402,23;13205,76
NOVPX1690G;0;73112;63206;92196;62166;79690
JLSQF8594B;0;72806,4;38822,4;48528;52675,2;45158,4
PLRGN4188P;0;-250,14;0;0;0;0
AIFBD5912W;0;306585,6;0;0;1305,6;12172,8
YEKRP6173J;0;362112;114643,2;184343,04;310881,84;458764
UMYNI4884W;0;462890,7;175937,29;242727,3;331357,5;310470,6
XJOWF9099M;0;204624;35952;22848;271488;116760
DWJDG0329L;0;176219,2;-5583,22;0;483460,3;42592,4
HFCVQ7482O;0;140255,5;5236;-7045,5;184261;171946,05
YZGOW9865M;0;2877;0;0;122806,8;81172,5
IGMSJ5764Y;0;6847,1;0;0;0;209596,09
HSUXH3248R;0;7431,76;0;0;0;179621
TEPZH7782S;0;6543,37;0;0;0;396631,68
SLIID4646V;0;4598,81;0;0;0;245329,69
OAYHO4529H;0;8357,42;0;0;0;100788,18
TZHHH3234J;0;2614,97;0;0;0;189199,86
YIKIH8884U;0;2577,89;0;0;0;62314,53
MGMYF4081N;0;2553,2;0;0;0;61737,46
YVLDJ9106B;0;2528,53;0;0;0;61123,59
XADOQ9184O;0;18013,45;71278,83;88134,83;104511,05;185347,15
UJKFM1171I;0;19333,6;80822,88;52685,36;68307,2;102503,96
ULVSZ4468K;0;84311,4;69485,23;158513,4;255423,54;649372,25
WSNPE6141Z;0;8198,4;27763,2;133632;126890,4;75163,2
HZBWS7932T;0;6956,9;0;2906,65;0;0
LKGGJ9555A;0;9672,95;8719,95;20727,75;35832,8;41121,95
IKNBM7216Z;0;1869,3;1701,9;0;0;0
KKAJC0186V;0;2120,44;4240,88;4240,88;0;0
XGXDH1702R;0;9729,5;83367,75;181725,6;363370;558912,38
FFHGA9401J;0;21345,8;11360,2;27650;90312,8;41048,4
UYKXY3254J;0;91067,94;43973,58;0;69659,1;87466,96
OVKUK0379H;0;130376,93;0;0;67225,08;86859,46
FFFQW7257P;0;1161,8;0;2323,6;0;275624,97
JEVCC0854K;0;105152;26982,4;13888;251571,2;101580,8
EIWGO2603H;0;13888;0;0;389019,6;158124,8
AYZWS3617W;0;30450;0;58145;120785;128615
JLJRU0647Y;0;10150;0;0;0;0
IBBRV1659P;0;142538;92752;184822;271436;172546
ZAWVA4147E;0;98685;24123;0;0;95761
DILKW2658Z;0;25585;0;0;88451;0
HVXKX9956F;0;367,25;0;367,25;734,52;6825,5
OJRBA0646J;0;8601;0;0;0;0
AFYYR6011S;0;8845;0;3190;0;0
KWGIZ9395K;0;1755;945;0;1093,5;0
PYLRT3465V;0;177284;0;0;0;0
HJWGF8811S;0;191016;51010,5;0;0;0
CMYBX0412W;0;1037;3315;0;0;0
GAXUP6391I;0;115684,5;9235,5;4300,5;0;0
WDHRN7350T;0;166281;34151,03;131107;55513;23306
OLKTR3866B;0;6213,39;0;9941,4;1242,67;6213,39
VHTKW9117S;0;468990,14;121481,37;1966,08;0;0
QLQSQ8825S;0;233756,1;68113,26;14678;4833;0
VETEQ8172Z;0;165264;0;0;0;0
CNDLJ6056C;0;8221,2;0;0;6145,75;0
JLFTE8258P;0;612268,25;208852;134338,25;691127,5;1010413,25
STABL9484I;0;440,92;3968,28;881,84;0;0
SVQGS4362M;0;-2682,88;0;0;0;0
TODCN7788P;0;35794,8;78140,66;133988,46;55485,2;108069
VYYZK6032S;0;26102,7;35645,4;41400;40033,8;149805,9
ZHDJE8964Y;0;154546,82;235771,4;44254,32;32112,4;-46550,64
TYRZC8291U;0;100;191449,86;111687,33;329274,92;288051,51
YTITF1894Z;0;50361,6;21589,4;33366,28;36636;154538,16
PUWME7772S;0;224039;159500,25;94494,6;157550,85;308278,8
MIRZU2482P;0;94978;12810;38430;65940;153720
VRCQP6271G;0;10985;77165;14030;28060;49105
MKUHL2308V;0;511971,4;136877,6;-8014,3;460151,8;462343,4
YCLJG8258B;0;242819,4;39740,9;0;197458,8;184846,2
NEAUH0599M;0;175917,6;85605,6;37057,6;93663,52;72504
CDOWU0661Z;0;329335,5;0;4011;173332,5;161815,2
BMADN3771T;0;95433,5;28752,5;0;121334;62961
XMBEU2334Q;0;103757;18786;0;73733,5;98549
WKKUW1078Z;0;623;0;0;0;0
IZDHV5209B;0;0;4415,95;0;0;0
PYDQZ2662B;0;0;9583,08;9583,08;0;0
SLWFZ7027E;0;0;7612,8;0;0;0
BUTJD9349O;0;0;2119,41;2007,45;46244,19;6605,33
TJKPI6329D;0;0;52612,5;0;0;0
FLRTU7372Y;0;0;2774,4;0;952;34516,8
AJGBB0913P;0;0;2121,34;5009,13;0;8310,69
UHHMX9753H;0;0;2215,96;6992,56;0;465490,83
XFPCJ8924M;0;0;3131,42;7411,02;0;192573,22
BQITK2020V;0;0;-712;592,5;0;45,17
PYEYQ1658C;0;0;-1068;0;0;592,5
PQKBK8427T;0;0;4595,11;0;0;104816,37
KGQWW7057L;0;0;4001,98;0;0;90599,77
BBDAL5574L;0;0;3630,32;0;0;82189,76
WAPIL1106C;0;0;3630,32;0;0;82569,52
KDSCV0064J;0;0;3567,79;0;0;175136,43
CDTST7352L;0;0;3608,86;0;0;81604,88
HZWEW2956P;0;0;2626,01;0;0;59447,21
FGVZT1231I;0;0;2626,01;0;0;59767,77
XFYOU4969X;0;0;6280,24;0;0;142151,87
ZKPZF1121L;0;0;3737,67;0;0;0
DKQAL0615D;0;0;15884,4;73910,2;5208;12716,2
DVRGM0806K;0;0;14918,77;0;0;0
FERRG5341Y;0;0;4028,64;2014,32;0;0
YKKZG6033S;0;0;428,4;0;0;0
CLBAY0464C;0;0;11163;11163;23424;31415
SFMGF6691M;0;0;37210;30317;0;0
JUPRL6719L;0;0;451,4;0;0;0
MWGDB3616F;0;0;128100;0;0;0
CIIGN8764S;0;0;1685,46;0;1196,68;2094,19
KYXDM5652F;0;0;8925;6580;0;0
HFTGG5194W;0;0;131028;0;0;23790
MOEHT7856Z;0;0;131028;0;0;22570
PLRDB2449T;0;0;131028;10919;0;87352
RYMSP0074F;0;0;61915;192028;1860,5;354623,5
JUCTM1332E;0;0;56850,3;204355,35;67802,4;86688
QGJPL0314L;0;0;2289;2190,9;0;0
DWOZU9842M;0;0;5967,57;0;0;2017,62
HCKCX8652M;0;0;3573,8;2114,49;0;14123,34
EFGDO5024A;0;0;9095,73;0;0;22387,51
YSDZP7092K;0;0;4935,4;2050,16;0;8760,33
YCOSK5095C;0;0;7154,88;3577,44;0;0
DOCEE6374S;0;0;3577,44;0;0;14309,76
VTIEE3836U;0;0;7154,88;14309,76;0;21464,64
PCJLQ4271R;0;0;3577,44;0;0;0
MWEAD8396A;0;0;7154,88;14309,76;0;0
CXEMF7257B;0;0;3940,6;0;0;0
BHQKI4862Z;0;0;1250,46;0;986,48;9864,8
RPHLN1269U;0;0;1409,66;2114,49;0;0
